Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	SPAC13A11.03	32.7111111111111	20.52
Red1DEL-FTP_RNAIP	IP	SPAC17A5.18c	39.2683333333333	32.315
Red1DEL-FTP_RNAIP	IP	SPAC23C4.07	42.9288	38.39
Red1DEL-FTP_RNAIP	IP	SPAC27D7.13c	75.552	74.53
Red1DEL-FTP_RNAIP	IP	SPAC32A11.01	73.19	73.19
Red1DEL-FTP_RNAIP	IP	SPAC458.04c	41.02	41.02
Red1DEL-FTP_RNAIP	IP	SPAC57A10.04	40.25	40.25
Red1DEL-FTP_RNAIP	IP	SPAP27G11.08c	9.22	9.22
Red1DEL-FTP_RNAIP	IP	SPBC1347.12	23.71	23.71
Red1DEL-FTP_RNAIP	IP	SPBC216.02	37.3014285714286	39.02
Red1DEL-FTP_RNAIP	IP	SPBC29A10.02	48.61	48.61
Red1DEL-FTP_RNAIP	IP	SPBC2D10.06	9.28	9.28
Red1DEL-FTP_RNAIP	IP	SPBC2G2.09c	41.79	41.79
Red1DEL-FTP_RNAIP	IP	SPBC32H8.11	46.25	46.25
Red1DEL-FTP_RNAIP	IP	SPBC577.05c	92.724	104.01
Red1DEL-FTP_RNAIP	IP	SPBC646.17c	73.51	73.51
Red1DEL-FTP_RNAIP	IP	SPBP8B7.04	52.08375	59.595
Red1DEL-FTP_RNAIP	IP	SPCC11E10.03	42.27	31.1
Red1DEL-FTP_RNAIP	IP	SPCC70.09c	11.84	11.84
Red1-FTP_RNAIP	IP	SPAC13A11.03	64.4801123595506	53.62
Red1-FTP_RNAIP	IP	SPAC1556.06	78.5078571428571	75.025
Red1-FTP_RNAIP	IP	SPAC17A5.18c	86.4585714285714	80.27
Red1-FTP_RNAIP	IP	SPAC23C4.07	60.281	59.375
Red1-FTP_RNAIP	IP	SPAC25G10.04c	28.3642857142857	22.49
Red1-FTP_RNAIP	IP	SPAC27D7.13c	43.5727272727273	36.41
Red1-FTP_RNAIP	IP	SPAC32A11.01	41.232	21.96
Red1-FTP_RNAIP	IP	SPAC458.04c	67.7327272727273	50
Red1-FTP_RNAIP	IP	SPAC57A10.04	60.5358823529412	39.49
Red1-FTP_RNAIP	IP	SPAC6C3.05	20.55	20.55
Red1-FTP_RNAIP	IP	SPAP27G11.08c	37.30375	30.875
Red1-FTP_RNAIP	IP	SPBC1347.12	66.114	67.21
Red1-FTP_RNAIP	IP	SPBC216.02	76.745	85.93
Red1-FTP_RNAIP	IP	SPBC29A10.02	38.235	31.84
Red1-FTP_RNAIP	IP	SPBC29A10.14	62.8573333333333	54.11
Red1-FTP_RNAIP	IP	SPBC2D10.06	52.66625	47.2
Red1-FTP_RNAIP	IP	SPBC2G2.09c	56.29	57.46
Red1-FTP_RNAIP	IP	SPBC32H8.11	54.03	34.44
Red1-FTP_RNAIP	IP	SPBC577.05c	67.1282142857143	60.19
Red1-FTP_RNAIP	IP	SPBC582.06c	95.21	77.355
Red1-FTP_RNAIP	IP	SPBC646.17c	62.5475	76.62
Red1-FTP_RNAIP	IP	SPBP8B7.04	56.7596	61.82
Red1-FTP_RNAIP	IP	SPCC11E10.03	55.4825	34.135
Red1-FTP_RNAIP	IP	SPCC1393.07c	34.22	34.22
Red1-FTP_RNAIP	IP	SPCC4E9.01c	55.5455555555556	50.32
Red1-FTP_RNAIP	IP	SPCC70.09c	53.6483333333333	52.74
Red1WFtoAA-FTP_RNAIP	IP	SPAC13A11.03	23.0511111111111	10.05
Red1WFtoAA-FTP_RNAIP	IP	SPAC1556.06	26.717	26.515
Red1WFtoAA-FTP_RNAIP	IP	SPAC17A5.18c	20.71	16.945
Red1WFtoAA-FTP_RNAIP	IP	SPAC23C4.07	41.6372727272727	39.92
Red1WFtoAA-FTP_RNAIP	IP	SPAC25G10.04c	26.6114285714286	28.53
Red1WFtoAA-FTP_RNAIP	IP	SPAC27D7.13c	46.0633333333333	29.25
Red1WFtoAA-FTP_RNAIP	IP	SPAC32A11.01	40.7566666666667	32.23
Red1WFtoAA-FTP_RNAIP	IP	SPAC458.04c	33.36	33.54
Red1WFtoAA-FTP_RNAIP	IP	SPAC57A10.04	96.745	96.745
Red1WFtoAA-FTP_RNAIP	IP	SPAC6C3.05	15.1	15.1
Red1WFtoAA-FTP_RNAIP	IP	SPAP27G11.08c	33.6271428571429	33.33
Red1WFtoAA-FTP_RNAIP	IP	SPBC1347.12	78.25	78.25
Red1WFtoAA-FTP_RNAIP	IP	SPBC216.02	24.0386666666667	19.25
Red1WFtoAA-FTP_RNAIP	IP	SPBC29A10.02	24.7	24.7
Red1WFtoAA-FTP_RNAIP	IP	SPBC29A10.14	41.07	41.07
Red1WFtoAA-FTP_RNAIP	IP	SPBC2D10.06	22.23	22.23
Red1WFtoAA-FTP_RNAIP	IP	SPBC32H8.11	24.8725	26.075
Red1WFtoAA-FTP_RNAIP	IP	SPBC577.05c	39.832	28.735
Red1WFtoAA-FTP_RNAIP	IP	SPBC582.06c	59.8866666666667	58.615
Red1WFtoAA-FTP_RNAIP	IP	SPBC646.17c	31.62	31.62
Red1WFtoAA-FTP_RNAIP	IP	SPBP8B7.04	47.5776923076923	55.05
Red1WFtoAA-FTP_RNAIP	IP	SPCC11E10.03	23.935	23.935
Red1WFtoAA-FTP_RNAIP	IP	SPCC4E9.01c	24.19	24.19
Red1WFtoAA-FTP_RNAIP	IP	SPCC70.09c	34.5409090909091	19.19
